Date,Open,High,Low,Close,Adj Close,Volume
1999-10-27,10.867175,11.265625,10.812500,11.203125,9.965072,39112800
1999-10-28,11.328125,11.484375,10.937500,11.468750,10.201341,39646400
1999-10-29,11.515625,12.187500,11.500000,11.890625,10.576593,53908400
1999-11-01,12.031250,13.109375,11.968750,12.796875,11.382694,90335200
1999-11-02,12.843750,13.468750,12.843750,13.250000,11.785744,83764800
1999-11-03,13.843750,14.437500,13.750000,14.328125,12.744729,87264000
1999-11-04,14.546875,14.750000,14.406250,14.546875,12.939302,83700800
1999-11-05,14.937500,15.343750,14.625000,14.671875,13.050488,84155600
1999-11-08,14.906250,15.171875,14.703125,14.859375,13.217269,54326400
1999-11-09,14.968750,14.968750,14.437500,14.609375,12.994895,55569200
1999-11-10,14.546875,15.000000,14.359375,14.718750,13.092187,50972000
1999-11-11,14.906250,15.718750,14.875000,15.515625,13.800999,47960400
1999-11-12,15.812500,16.687500,15.437500,16.281250,14.482009,69733600
1999-11-15,16.359375,16.562500,16.000000,16.015625,14.245741,42568400
1999-11-16,16.078125,16.359375,16.000000,16.125000,14.343029,58097600
1999-11-17,17.437500,18.093750,17.156250,17.750000,15.788449,100242400
1999-11-18,17.937500,18.671875,17.265625,18.546875,16.497272,64814800
1999-11-19,18.531250,19.546875,18.343750,19.031250,16.928110,60086000
1999-11-22,18.921875,19.468750,18.718750,19.359375,17.219973,40570400
1999-11-23,19.468750,19.468750,18.296875,18.375000,16.344385,64967600
1999-11-24,18.234375,18.234375,17.187500,17.953125,15.969131,73022400
1999-11-26,17.750000,18.468750,17.703125,18.406250,16.372179,18470000
1999-11-29,18.203125,18.750000,17.765625,18.140625,16.135906,35636400
1999-11-30,18.171875,18.187500,16.808575,16.953125,15.079640,63926800
1999-12-01,17.109375,17.703125,16.875000,17.671875,15.718959,40256400
1999-12-02,17.734375,19.000000,17.718750,18.984375,16.886414,49338400
1999-12-03,19.406250,20.453125,19.250000,19.671875,17.497940,74702800
1999-12-06,19.687500,19.968750,19.390625,19.609375,17.442347,38683200
1999-12-07,19.578125,20.031250,19.078125,19.812500,17.623026,51888800
1999-12-08,19.625000,19.750000,18.968750,19.031250,16.928110,42925600
1999-12-09,19.265625,19.859375,19.250000,19.640625,17.470144,66600400
1999-12-10,19.875000,21.187500,19.359375,21.156250,18.818277,49635600
1999-12-13,21.000000,21.015625,19.890625,19.953125,17.748112,60372000
1999-12-14,20.156250,20.781250,19.093750,19.234375,17.108788,75655200
1999-12-15,21.312500,22.859375,20.718750,22.593750,20.096916,148169600
1999-12-16,22.406250,22.656250,21.843750,22.390625,19.916243,59600000
1999-12-17,23.000000,23.703125,22.566401,22.671875,20.166407,81975200
1999-12-20,23.593750,24.562500,23.562500,24.078125,21.417263,70350400
1999-12-21,24.328125,24.843750,23.781250,24.421875,21.723021,60357200
1999-12-22,24.953125,26.343750,24.750000,26.265625,23.363016,54652800
1999-12-23,26.437500,27.625000,26.312500,26.671875,23.724369,56016000
1999-12-27,27.156250,27.171875,25.531250,26.093750,23.210135,38805600
1999-12-28,26.015625,27.140625,25.500000,26.531250,23.599285,34231600
1999-12-29,26.421875,27.546875,26.406250,27.500000,24.460979,22750000
1999-12-30,27.984375,28.234375,27.203125,27.843750,24.766745,27397600
1999-12-31,27.843750,28.343750,27.703125,28.015625,24.919622,10714800
2000-01-03,31.156250,31.296875,27.906250,29.531250,26.267759,98114800
2000-01-04,28.875000,29.656250,26.250000,26.921875,23.946749,116824800
2000-01-05,25.406250,26.593750,24.000000,25.500000,22.681999,166054000
2000-01-06,25.039049,26.250000,23.671875,24.000000,21.347761,109880000
2000-01-07,23.750000,25.875000,23.390625,25.843750,22.987759,91755600
2000-01-10,27.000000,29.000000,26.375000,28.937500,25.739622,91518000
2000-01-11,28.156250,28.687500,27.375000,28.093750,24.989111,86585200
2000-01-12,28.062500,28.062500,25.921875,26.406250,23.488100,83443600
2000-01-13,27.125000,27.468750,25.875000,26.265625,23.363016,55779200
2000-01-14,27.250000,27.843750,26.187500,26.703125,23.752163,57078000
2000-01-18,26.968750,28.625000,26.406250,27.812500,24.738943,66780000
2000-01-19,28.062500,29.125000,27.000000,28.562500,25.406065,49198400
2000-01-20,29.500000,30.125000,29.062500,29.625000,26.351145,54526800
2000-01-21,30.750000,30.750000,29.500000,29.843750,26.545721,50891000
2000-01-24,30.125000,30.187500,27.000000,27.093750,24.099627,50022400
2000-01-25,27.531250,28.750000,27.437500,28.218750,25.100300,53059200
2000-01-26,28.375000,29.468750,27.500000,27.531250,24.488775,47569200
2000-01-27,27.906250,28.343750,25.000000,25.906250,23.043356,61054000
2000-01-28,25.750000,25.968750,23.312500,23.687500,21.069799,86394000
2000-01-31,23.968750,25.062500,23.531250,24.976549,22.216394,68148000
2000-02-01,25.625000,27.156250,25.000000,27.000000,24.016233,57105600
2000-02-02,27.468750,28.000000,27.000000,27.156250,24.155216,63933000
2000-02-03,27.687500,28.500000,27.125000,28.343750,25.211485,55533200
2000-02-04,28.812500,29.125000,28.406250,28.906250,25.711823,40916000
2000-02-07,29.656250,30.000000,29.437500,29.968750,26.656906,44691200
2000-02-08,30.375000,30.718750,29.500000,29.781250,26.490126,55718000
2000-02-09,30.031250,30.656250,29.406250,29.968750,26.656906,52471600
2000-02-10,30.000000,31.312500,29.000000,31.156250,27.713177,45288600
2000-02-11,31.250000,32.375000,29.375000,29.843750,26.545721,55774000
2000-02-14,30.437500,31.125000,29.312500,31.093750,27.657583,37599800
2000-02-15,30.812500,31.593750,29.562500,30.687500,27.296230,47971400
2000-02-16,30.500000,31.281250,30.062500,30.625000,27.240635,33489200
2000-02-17,30.875000,31.375000,30.000000,30.812500,27.407425,40392600
2000-02-18,30.843750,31.000000,29.187500,29.281250,26.045383,63888400
2000-02-22,29.562500,30.718750,28.156250,29.656250,26.378944,75546200
2000-02-23,30.093750,31.632799,29.812500,31.531250,28.046734,69664400
2000-02-24,31.593750,32.531250,30.125000,30.968750,27.546400,70963200
2000-02-25,30.937500,35.500000,30.937500,35.312500,31.410124,103186600
2000-02-28,35.625000,38.250000,34.125000,34.312500,30.520636,122316600
2000-02-29,36.687500,37.218750,35.562500,37.125000,33.022331,55586400
2000-03-01,36.875000,37.250000,35.375000,35.750000,31.799276,44934400
2000-03-02,36.750000,36.781250,33.937500,34.250000,30.465029,52311000
2000-03-03,35.562500,37.562500,35.085899,37.500000,33.355862,47974400
2000-03-06,37.406250,38.468750,36.187500,37.875000,33.689434,45520600
